Index,Time,(g_motorDebug).open_loop_angle_rad,(g_motorDebug).observer_angle_rad
997,0.997183,0.999633491,2.53979421
998,0.998185,1.6796329,3.20804477
999,0.999192,2.31963229,3.90788817
1000,1.000182,2.99963164,4.53262234
1001,1.001191,3.67963099,5.22062397
1002,1.002183,4.31963062,5.89282084
1003,1.003265,5.03962994,0.327292413
1004,1.004193,5.67962933,0.937334299
1005,1.005194,0.0364432335,1.60479963
1006,1.006184,0.7164433,2.26404643
1007,1.007186,1.39644313,2.9290905
1008,1.008183,2.03644252,3.61445498
1009,1.009186,2.71644187,4.25166273
1010,1.010196,3.39644122,4.92481375
1011,1.011184,4.03644085,5.61979151
1012,1.012192,4.7164402,0.00123357773
1013,1.013193,5.39643955,0.657694936
1014,1.014189,6.03643894,1.32370043
1015,1.015191,0.433253139,2.00783992
1016,1.016192,1.11325336,2.64999986
1017,1.017192,1.75325274,3.32440138
1018,1.018190,2.4332521,3.98035717
1019,1.019228,3.11325145,4.68191671
1020,1.020219,3.7932508,5.33555269
1021,1.021184,4.43325043,5.96302843
1022,1.022193,5.11324978,0.361483902
1023,1.023193,5.75324917,1.04876983
1024,1.024189,0.150063157,1.67994213
1025,1.025191,0.830063283,2.37818098
1026,1.026194,1.47006297,3.03933024
1027,1.027184,2.15006232,3.68987465
1028,1.028192,2.83006167,4.36186743
1029,1.029192,3.47006106,5.04360485
1030,1.030188,4.15006065,5.6930337
1031,1.031191,4.83006001,0.0767632946
1032,1.032187,5.47005939,0.772857964
1033,1.033189,6.15005875,1.39546824
1034,1.034187,0.546873093,2.08455968
1035,1.035187,1.22687316,2.76133299
1036,1.036243,1.90687251,3.44336081
1037,1.037215,2.5468719,4.13253212
1038,1.038193,3.18687129,4.75568008
1039,1.039190,3.86687064,5.41008091
1040,1.040192,4.54687023,6.07272911
1041,1.041186,5.18686962,0.478696585
1042,1.042189,5.86686897,1.12018764
1043,1.043186,0.263683051,1.79643524
1044,1.044188,0.903683245,2.48939252
1045,1.045184,1.58368278,3.10999608
1046,1.046191,2.26368213,3.80351067
1047,1.047185,2.90368152,4.47034407
1048,1.048188,3.58368087,5.11836386
1049,1.049184,4.26368046,5.80208874
1050,1.050189,4.90367985,0.190823078
1051,1.051216,5.5836792,0.882701397
1052,1.052195,6.26367855,1.5027318
1053,1.053189,0.620493054,2.19742322
1054,1.054192,1.300493,2.82980633
1055,1.055189,1.98049235,3.51712012
1056,1.056184,2.62049174,4.20191193
1057,1.057193,3.30049109,4.86885309
1058,1.058185,3.98049045,5.52118063
1059,1.059192,4.62049007,6.18130779
1060,1.060194,5.30048943,0.593744695
1061,1.061190,5.98048878,1.22956157
1062,1.062193,0.337302953,1.9139533
1063,1.063190,1.01730311,2.56127119
1064,1.064192,1.69730246,3.22355509
1065,1.065187,2.33730197,3.91736579
1066,1.066346,3.13730121,4.6594882
1067,1.067192,3.69730067,5.23653984
1068,1.068187,4.3373003,5.91359234
1069,1.069183,5.01729965,0.269129604
1070,1.070186,5.697299,0.957487464
1071,1.071192,0.0541129485,1.61800885
1072,1.072183,0.734112978,2.27484727
1073,1.073192,1.41411269,2.94291425
1074,1.074183,2.0541122,3.63741922
1075,1.075192,2.73411155,4.27611446
1076,1.076187,3.4141109,4.94746542
1077,1.077194,4.05411053,5.63581514
1078,1.078183,4.73410988,6.25675297
1079,1.079191,5.41410923,0.671671927
1080,1.080193,6.05410862,1.34271801
1081,1.081340,0.53092283,2.1164031
1082,1.082194,1.13092291,2.67374921
1083,1.083186,1.7709223,3.34165478
1084,1.084183,2.45092177,3.99230719
1085,1.085185,3.09092116,4.65472794
1086,1.086186,3.77092052,5.3542881
1087,1.087188,4.4509201,5.98562574
1088,1.088184,5.09091949,0.386943012
1089,1.089184,5.77091885,1.06823254
1090,1.090194,0.167732865,1.69241309
1091,1.091184,0.80773294,2.38807368
1092,1.092192,1.48773253,3.05322576
1093,1.093182,2.167732,3.71159339
1094,1.094191,2.84773135,4.38416815
1095,1.095304,3.56773067,5.14507914
1096,1.096184,4.16773033,5.70569229
1097,1.097186,4.80772972,0.0860042572
1098,1.098184,5.48772907,0.784138441
1099,1.099186,6.16772842,1.41221368
1100,1.100194,0.56454277,2.10749388
1101,1.101182,1.20454276,2.78114057
1102,1.102190,1.88454211,3.45611858
1103,1.103208,2.56454158,4.10157919
1104,1.104186,3.20454097,4.76621771
1105,1.105183,3.88454032,5.42643166
1106,1.106192,4.56453991,6.09375811
1107,1.107186,5.2045393,0.501466453
1108,1.108188,5.88453865,1.13748348
1109,1.109184,0.241352767,1.80772519
1110,1.110186,0.921352923,2.49950695
1111,1.111182,1.60135233,3.12550497
1112,1.112278,2.32135177,3.90656495
1113,1.113194,2.92135119,4.49283361
1114,1.114186,3.60135055,5.13726473
1115,1.115183,4.24135017,5.81450939
1116,1.116190,4.92134953,0.20176594
1117,1.117187,5.60134888,0.856853843
1118,1.118190,6.28134823,1.52338088
1119,1.119184,0.638162732,2.22271872
1120,1.120186,1.31816268,2.8514297
1121,1.121183,1.95816207,3.53148317
1122,1.122187,2.63816142,4.21200323
1123,1.123184,3.31816077,4.841362
1124,1.124186,3.95816016,5.53990841
1125,1.125193,4.63815975,6.20422506
1126,1.126315,5.39815903,0.657143593
1127,1.127189,5.95815849,1.24635577
1128,1.128184,0.354972631,1.92476428
1129,1.129192,1.03497291,2.57154417
1130,1.130184,1.6749723,3.24135494
1131,1.131191,2.35497165,3.94031072
1132,1.132193,3.034971,4.56433392
1133,1.133190,3.71497035,5.25444365
1134,1.134192,4.35496998,5.92496824
1135,1.135189,5.03496933,0.279192299
1136,1.136184,5.67496872,0.970590055
1137,1.137190,0.0717826262,1.63939536
1138,1.138182,0.751782715,2.29866815
1139,1.139191,1.43178248,2.96253324
1140,1.140194,2.07178187,3.65018487
1141,1.141191,2.75178123,4.28565264
1142,1.142194,3.43178058,5.00329113
1143,1.143211,4.11178017,5.65520096
1144,1.144188,4.75177956,6.28050232
1145,1.145185,5.39177895,0.694146454
1146,1.146193,6.0717783,1.35866296
1147,1.147189,0.468592525,2.00417185
1148,1.148192,1.14859271,2.68560934
1149,1.149185,1.7885921,3.36252117
1150,1.150188,2.46859145,4.01688004
1151,1.151184,3.10859084,4.6785779
1152,1.152186,3.78859019,5.37266207
1153,1.153182,4.46858978,5.99821329
1154,1.154186,5.10858917,0.399155706
1155,1.155192,5.78858852,1.08424473
1156,1.156187,0.185402542,1.71703291
1157,1.157183,0.825402677,2.41408825
1158,1.158185,1.50540233,3.07473946
1159,1.159214,2.18540168,3.76735568
1160,1.160191,2.82540107,4.3967824
1161,1.161186,3.50540042,5.08076239
1162,1.162189,4.18540001,5.72777891
1163,1.163186,4.8253994,0.112466559
1164,1.164188,5.50539875,0.807508469
1165,1.165184,6.1853981,1.42889881
1166,1.166214,0.582212508,2.11988354
1167,1.167190,1.22221255,2.79489636
1168,1.168186,1.9022119,3.43812323
1169,1.169188,2.54221129,4.12782764
1170,1.170186,3.22221065,4.79158115
1171,1.171188,3.90221,5.44586897
1172,1.172196,4.58220959,6.10734892
1173,1.173184,5.22220898,0.515563846
1174,1.174192,5.90220833,1.15532911
1175,1.175274,0.339022428,1.87573433
1176,1.176184,0.939022601,2.52507782
1177,1.177192,1.61902201,3.14602113
1178,1.178196,2.29902148,3.84036326
1179,1.179190,2.93902087,4.50602341
1180,1.180193,3.61902022,5.1571393
1181,1.181189,4.25901985,5.83877659
1182,1.182192,4.9390192,0.230509534
1183,1.183188,5.61901855,0.881143153
1184,1.184191,6.25901794,1.540416
1185,1.185185,0.65583241,2.23628449
1186,1.186182,1.33583224,2.866889
1187,1.187191,1.97583163,3.55659032
1188,1.188193,2.6558311,4.23890781
1189,1.189190,3.33583045,4.8666296
1190,1.190192,3.97582984,5.55859089
1191,1.191246,4.69582939,6.25785875
1192,1.192194,5.33582878,0.591033459
1193,1.193191,5.97582817,1.26543844
1194,1.194183,0.372642338,1.95150554
1195,1.195192,1.05264246,2.59605551
1196,1.196187,1.69264185,3.25924015
1197,1.197194,2.37264132,3.95196462
1198,1.198184,3.05264068,4.57543564
1199,1.199193,3.69264007,5.27164888
1200,1.200183,4.37263966,5.94581413
1201,1.201192,5.05263901,0.303000212
1202,1.202196,5.73263836,0.989122689
1203,1.203190,0.0894523412,1.65052867
1204,1.204193,0.769452393,2.3068347
1205,1.205189,1.40945208,2.97373199
1206,1.206185,2.08945155,3.66967273
1207,1.207328,2.84945083,4.42189121
1208,1.208193,3.40945029,4.97916746
1209,1.209184,4.08944988,5.66581345
1210,1.210193,4.76944923,0.00384235382
1211,1.211183,5.40944862,0.702524722
1212,1.212191,6.08944798,1.37252975
1213,1.213193,0.486262232,2.02471638
1214,1.214189,1.12626231,2.70393109
1215,1.215189,1.80626166,3.37387252
1216,1.216190,2.48626113,4.0234499
1217,1.217192,3.12626052,4.68638802
1218,1.218190,3.80625987,5.38709545
1219,1.219192,4.48625946,6.01733351
1220,1.220188,5.12625885,0.420895427
1221,1.221188,5.8062582,1.10080087
1222,1.222184,0.20307225,1.72767901
1223,1.223221,0.883072376,2.42291355
1224,1.224212,1.52307189,3.08853412
1225,1.225190,2.20307136,3.74841213
1226,1.226193,2.84307075,4.41944122
1227,1.227193,3.5230701,5.10079575
1228,1.228189,4.20306969,5.74188232
1229,1.229192,4.84306908,0.124693684
1230,1.230188,5.52306843,0.822480202
1231,1.231190,6.20306778,1.44996834
1232,1.232186,0.559882164,2.14715743
1233,1.233186,1.23988223,2.81881762
1234,1.234183,1.91988158,3.45578194
1235,1.235185,2.55988097,4.14071274
1236,1.236209,3.23988032,4.80743742
1237,1.237187,3.91987967,5.46707153
1238,1.238346,4.67987919,6.25128174
1239,1.239186,5.23987865,0.542764008
1240,1.240192,5.91987801,1.17639542
1241,1.241188,0.276692122,1.8496803
1242,1.242192,0.956692338,2.53958821
1243,1.243188,1.63669181,3.16697598
1244,1.244190,2.2766912,3.867553
1245,1.245185,2.95669055,4.5327673
1246,1.246193,3.6366899,5.17997503
1247,1.247189,4.27668953,5.8545742
1248,1.248192,4.95668888,0.244543165
1249,1.249188,5.63668823,0.89782387
1250,1.250192,6.27668762,1.56476057
1251,1.251187,0.673502147,2.26472545
1252,1.252190,1.35350204,2.89137459
1253,1.253186,1.99350142,3.57382083
1254,1.254189,2.67350078,4.25200033
1255,1.255213,3.35350013,4.92486286
1256,1.256185,3.99349952,5.5802598
1257,1.257192,4.67349911,6.24444103
1258,1.258184,5.35349846,0.616967976
1259,1.259192,5.99349785,1.28503847
1260,1.260182,0.390312016,1.92478228
1261,1.261191,1.07031226,2.61057258
1262,1.262194,1.71031165,3.28213167
1263,1.263188,2.390311,3.97926736
1264,1.264191,3.07031035,4.60177851
1265,1.265188,3.71030974,5.29289293
1266,1.266185,4.39030933,5.92246437
1267,1.267193,5.07030869,0.317434013
1268,1.268196,5.71030807,1.00666893
1269,1.269263,0.147122025,1.71752179
1270,1.270193,0.78712213,2.33424401
1271,1.271190,1.42712188,2.99646091
1272,1.272193,2.10712123,3.68527007
1273,1.273189,2.78712058,4.31866598
1274,1.274193,3.42711997,4.9965086
1275,1.275186,4.10711956,5.68759298
1276,1.276194,4.78711891,0.0302109718
1277,1.277190,5.4271183,0.726743102
1278,1.278192,6.10711765,1.38945901
1279,1.279188,0.50393194,2.03709698
1280,1.280190,1.1439321,2.71668291
1281,1.281184,1.82393146,3.35392118
1282,1.282187,2.50393081,4.04792404
1283,1.283183,3.1439302,4.70959044
1284,1.284186,3.82392955,5.36383057
1285,1.285240,4.50392914,6.0672369
1286,1.286186,5.14392853,0.432060331
1287,1.287192,5.82392788,1.11550355
1288,1.288182,0.220741928,1.75045526
1289,1.289190,0.860742092,2.4459486
1290,1.290194,1.54074168,3.10610485
1291,1.291190,2.22074103,3.75916481
1292,1.292192,2.86074042,4.42787218
1293,1.293185,3.54073977,5.07337141
1294,1.294188,4.22073936,5.76025963
1295,1.295184,4.86073875,0.147221744
1296,1.296191,5.54073811,0.841305196
1297,1.297187,6.22073746,1.4622277
1298,1.298191,0.577551842,2.15553188
1299,1.299220,1.25755179,2.82870507
1300,1.300216,1.93755114,3.51578736
1301,1.301194,2.57755065,4.16181993
1302,1.302191,3.25755,4.82669449
1303,1.303193,3.93754935,5.4802618
1304,1.304210,4.61754894,6.14112616
1305,1.305189,5.25754833,0.551740527
1306,1.306192,5.93754768,1.18971717
1307,1.307182,0.29436183,1.87098241
1308,1.308190,0.974362016,2.52069116
1309,1.309193,1.65436137,3.18149543
1310,1.310190,2.29436088,3.87550831
1311,1.311190,2.97436023,4.53964853
1312,1.312186,3.65435958,5.19285107
1313,1.313189,4.29435921,5.87219954
1314,1.314288,5.05435848,0.307212621
1315,1.315193,5.65435791,0.914793015
1316,1.316188,0.0111718178,1.57440865
1317,1.317183,0.691171825,2.23063278
1318,1.318185,1.37117159,2.90029907
1319,1.319182,2.0111711,3.59220314
1320,1.320185,2.69117045,4.23343277
1321,1.321193,3.37116981,4.90218163
1322,1.322185,4.01116943,5.59266472
1323,1.323192,4.69116879,6.25257206
1324,1.324182,5.33116817,0.62674576
1325,1.325191,6.01116753,1.29978049
1326,1.326186,0.407981724,1.94680858
1327,1.327183,1.04798186,2.63099265
1328,1.328185,1.72798121,3.2964673
1329,1.329192,2.40798068,3.98852706
1330,1.330219,3.08798003,4.65128565
1331,1.331216,3.76797938,5.30995083
1332,1.332183,4.40797901,5.94378328
1333,1.333192,5.08797836,0.342382699
1334,1.334195,5.72797775,1.0265491
1335,1.335189,0.124791734,1.64895165
1336,1.336184,0.764791787,2.34580922
1337,1.337193,1.44479144,3.01204753
1338,1.338185,2.12479091,3.66903257
1339,1.339194,2.80479026,4.34430122
1340,1.340196,3.44478965,5.01986122
1341,1.341189,4.12478924,5.6652627
1342,1.342191,4.80478859,0.043662291
1343,1.343187,5.44478798,0.742184162
1344,1.344189,6.12478733,1.37166619
1345,1.345185,0.481601626,2.06470895
1346,1.346194,1.16160166,2.74122167
1347,1.347207,1.84160101,3.41338921
1348,1.348185,2.48160052,4.06083632
1349,1.349194,3.16159987,4.72393274
1350,1.350184,3.84159923,5.38402939
1351,1.351192,4.52159882,6.05262852
1352,1.352195,5.16159821,0.457837909
1353,1.353188,5.84159756,1.09644198
1354,1.354192,0.238411605,1.76382625
1355,1.355188,0.87841177,2.4576292
1356,1.356183,1.55841136,3.083323
1357,1.357192,2.23841071,3.78337693
1358,1.358194,2.8784101,4.45214272
1359,1.359188,3.55840945,5.09405661
1360,1.360190,4.23840904,5.77410936
1361,1.361187,4.87840843,0.158543557
1362,1.362190,5.55840778,0.815187633
1363,1.363219,6.23840714,1.52210653
1364,1.364185,0.595221579,2.18092871
1365,1.365191,1.27522159,2.81205082
1366,1.366186,1.91522098,3.48983192
1367,1.367183,2.59522033,4.17298222
1368,1.368185,3.27521968,4.80036736
1369,1.369193,3.95521903,5.50045061
1370,1.370184,4.59521866,6.16570187
1371,1.371190,5.27521801,0.536353946
1372,1.372192,5.95521736,1.20915043
1373,1.373189,0.312031507,1.88495362
1374,1.374191,0.992031753,2.53393984
1375,1.375320,1.75203109,3.2845943
1376,1.376194,2.31203055,3.90219259
1377,1.377189,2.99202991,4.52756929
1378,1.378193,3.67202926,5.21549749
1379,1.379248,4.35202885,5.92670536
1380,1.380189,4.99202824,0.239566177
1381,1.381186,5.63202763,0.932812154
1382,1.382188,0.0288414955,1.59998739
1383,1.383183,0.708841562,2.25917888
1384,1.384185,1.34884143,2.92448545
1385,1.385194,2.02884078,3.60936069
1386,1.386191,2.70884013,4.2465663
1387,1.387188,3.34883952,4.9194231
1388,1.388190,4.02883911,5.61484814
1389,1.389185,4.70883846,6.23930836
1390,1.390187,5.34883785,0.652297616
1391,1.391183,6.0288372,1.31836915
1392,1.392186,0.425651401,1.96030045
1393,1.393183,1.10565162,2.68280673
1394,1.394218,1.78565097,3.3171916
1395,1.395194,2.42565036,3.97297668
1396,1.396184,3.06564975,4.63488531
1397,1.397186,3.7456491,5.32736349
1398,1.398183,4.42564869,5.95503855
1399,1.399185,5.06564808,0.352761894
1400,1.400194,5.74564743,1.04039979
1401,1.401182,0.142461419,1.67085004
1402,1.402192,0.822461545,2.3693049
1403,1.403183,1.46246123,3.0304656
1404,1.404191,2.14246058,3.68039942
1405,1.405193,2.82245994,4.35256386
1406,1.406194,3.46245933,5.03335905
1407,1.407194,4.14245892,5.68323326
1408,1.408190,4.78245831,0.0662429705
1409,1.409192,5.46245766,0.762316227
1410,1.410190,6.14245701,1.38531649
1411,1.411266,0.579271317,2.11470175
1412,1.412190,1.17927134,2.75102615
1413,1.413190,1.85927069,3.39080715
1414,1.414187,2.4992702,4.08293724
1415,1.415189,3.17926955,4.74496603
1416,1.416190,3.8592689,5.3994503
1417,1.417192,4.53926849,6.06269407
1418,1.418190,5.17926788,0.468233943
1419,1.419190,5.85926723,1.11050963
1420,1.420185,0.216081321,1.78630531
1421,1.421188,0.896081448,2.4798522
